n,average,dijkstra
10,725,5.17368316650391E-05
20,871,0.000101327896118
30,879,0.000164031982422
40,958,0.000214815139771
50,731,0.000308275222778
60,904,0.000373125076294
70,633,0.00046443939209
80,731,0.000560998916626
90,636,0.000652313232422
100,649,0.000734567642212
110,663,0.000858545303345
120,556,0.000997066497803
130,603,0.001146078109741
140,557,0.001216173171997
150,596,0.001297950744629
160,561,0.001564979553223
170,558,0.001621961593628
180,579,0.001742601394653
190,570,0.002125263214111
200,535,0.002069473266602
210,530,0.003772974014282
220,543,0.002513885498047
230,533,0.002824783325195
240,557,0.002899885177612
250,550,0.003143787384033
260,553,0.002988338470459
270,527,0.003401517868042
280,522,0.003564119338989
290,518,0.003663778305054
300,529,0.004330158233643
310,545,0.004490613937378
320,533,0.004929065704346
330,510,0.004953145980835
340,539,0.004836797714233
350,520,0.005082130432129
360,530,0.005575895309448
370,527,0.005756378173828
380,539,0.006063938140869
390,532,0.006351232528687
400,508,0.006671667098999
410,530,0.00793194770813
420,529,0.007245302200317
430,533,0.007639646530151
440,542,0.007814884185791
450,523,0.0084228515625
460,530,0.008541822433472
470,532,0.008283615112305
480,518,0.009939670562744
490,513,0.010021448135376
500,522,0.009634733200073
510,520,0.010564804077149
520,525,0.010250329971314
530,526,0.010897159576416
540,533,0.011378765106201
550,528,0.014753818511963
560,516,0.013011455535889
570,524,0.016783714294434
580,522,0.015009641647339
590,533,0.013989210128784
600,533,0.013728857040405
610,518,0.014019966125488
620,511,0.016140222549439
630,522,0.016843795776367
640,524,0.016026735305786
650,513,0.016782522201538
660,510,0.018869400024414
670,517,0.017667770385742
680,523,0.017805814743042
690,522,0.019097805023193
700,528,0.04874587059021
710,520,0.018778085708618
720,516,0.02004885673523
730,522,0.02044153213501
740,514,0.021473169326782
750,516,0.022853374481201
760,517,0.027982473373413
770,509,0.022544384002686
780,529,0.023779630661011
790,528,0.02323579788208
800,520,0.025162220001221
810,525,0.024370908737183
820,516,0.026419878005982
830,511,0.025976896286011
840,510,0.028757095336914
850,522,0.03457236289978
860,525,0.0362229347229
870,526,0.028001308441162
880,517,0.029716014862061
890,511,0.030032157897949
900,520,0.031208276748657
910,518,0.030803442001343
920,520,0.031736850738525
930,521,0.034027814865112
940,522,0.03483510017395
950,517,0.034745216369629
960,519,0.036584854125977
970,516,0.036829710006714
980,528,0.038862943649292
990,522,0.040549755096436
1000,513,0.040574073791504
